C,0,1,2,3,4,5,6,7,8,9,10
420,2539.62,2543.04,2546.46,2549.88,2553.3,2556.72,2560.13,2563.55,2566.96,2570.38,2573.79
430,2573.79,2577.2,2580.61,2584.02,2587.43,2590.83,2594.24,2597.64,2601.05,2604.45,2607.85
440,2607.85,2611.25,2614.65,2618.04,2621.44,2624.83,2628.23,2631.62,2635.01,2638.4,2641.79
450,2641.79,2645.18,2648.57,2651.95,2655.34,2658.72,2662.1,2665.48,2668.86,2672.24,2675.62
460,2675.62,2679,2682.37,2685.74,2689.12,2692.49,2695.86,2699.23,2702.6,2705.97,2709.33
470,2709.33,2712.7,2716.06,2719.42,2722.78,2726.14,2729.5,2732.86,2736.22,2739.57,2742.93
480,2742.93,2746.28,2749.63,2752.98,2756.33,2759.68,2763.03,2766.38,2769.72,2773.07,2776.41
490,2776.41,2779.75,2783.09,2786.43,2789.77,2793.11,2796.44,2799.78,2803.11,2806.44,2809.78
500,2809.78,2813.11,2816.43,2819.76,2823.09,2826.41,2829.74,2833.06,2836.38,2839.71,2843.03
510,2843.03,2846.34,2849.66,2852.98,2856.29,2859.61,2862.92,2866.23,2869.54,2872.85,2876.16
520,2876.16,2879.47,2882.77,2886.08,2889.38,2892.68,2895.99,2899.29,2902.58,2905.88,2909.18
530,2909.18,2912.47,2915.77,2919.06,2922.35,2925.65,2928.94,2932.22,2935.51,2938.8,2942.08
540,2942.08,2945.37,2948.65,2951.93,2955.21,2958.49,2961.77,2965.05,2968.32,2971.6,2974.87
550,2974.87,2978.14,2981.42,2984.69,2987.95,2991.22,2994.49,2997.75,3001.02,3004.28,3007.54
560,3007.54,3010.8,3014.06,3017.32,3020.58,3023.84,3027.09,3030.35,3033.6,3036.85,3040.1
570,3040.1,3043.35,3046.6,3049.85,3053.09,3056.34,3059.58,3062.82,3066.06,3069.3,3072.54
580,3072.54,3075.78,3079.02,3082.25,3085.49,3088.72,3091.95,3095.18,3098.41,3101.64,3104.87
590,3104.87,3108.1,3111.32,3114.54,3117.77,3120.99,3124.21,3127.43,3130.65,3133.86,3137.08
600,3137.08,3140.29,3143.51,3146.72,3149.93,3153.14,3156.35,3159.56,3162.77,3165.97,3169.18
610,3169.18,3172.38,3175.58,3178.78,3181.98,3185.18,3188.38,3191.57,3194.77,3197.96,3201.16
620,3201.16,3204.35,3207.54,3210.73,3213.91,3217.1,3220.29,3223.47,3226.66,3229.84,3233.02
630,3233.02,3236.2,3239.38,3242.56,3245.73,3248.91,3252.08,3255.26,3258.43,3261.6,3264.77
640,3264.77,3267.94,3271.1,3274.27,3277.44,3280.6,3283.76,3286.92,3290.08,3293.24,3296.4
650,3296.4,3299.56,3302.71,3305.87,3309.02,3312.17,3315.33,3318.48,3321.62,3324.77,3327.92
660,3327.92,3331.06,3334.21,3337.35,3340.49,3343.63,3346.77,3349.91,3353.05,3356.19,3359.32
670,3359.32,3362.46,3365.59,3368.72,3371.85,3374.98,3378.11,3381.23,3384.36,3387.48,3390.61
680,3390.61,3393.73,3396.85,3399.97,3403.09,3406.21,3409.32,3412.44,3415.55,3418.67,3421.78
690,3421.78,3424.89,3428,3431.11,3434.22,3437.32,3440.43,3443.53,3446.63,3449.73,3452.84
700,3452.84,3455.93,3459.03,3462.13,3465.22,3468.32,3471.41,3474.51,3477.6,3480.69,3483.78
710,3483.78,3486.86,3489.95,3493.03,3496.12,3499.2,3502.28,3505.36,3508.44,3511.52,3514.6
720,3514.6,3517.68,3520.75,3523.82,3526.9,3529.97,3533.04,3536.11,3539.18,3542.24,3545.31
730,3545.31,3548.37,3551.44,3554.5,3557.56,3560.62,3563.68,3566.74,3569.79,3572.85,3575.9
740,3575.9,3578.96,3582.01,3585.06,3588.11,3591.16,3594.2,3597.25,3600.29,3603.34,3606.38
750,3606.38,3609.42,3612.46,3615.5,3618.54,3621.58,3624.61,3627.65,3630.68,3633.71,3636.74
760,3636.74,3639.77,3642.8,3645.83,3648.86,3651.88,3654.91,3657.93,3660.95,3663.97,3666.99
770,3666.99,3670.01,3673.03,3676.04,3679.06,3682.07,3685.08,3688.1,3691.11,3694.12,3697.12
780,3697.12,3700.13,3703.14,3706.14,3709.14,3712.15,3715.15,3718.15,3721.15,3724.14,3727.14
790,3727.14,3730.13,3733.13,3736.12,3739.11,3742.1,3745.09,3748.08,3751.07,3754.06,3757.04
800,3757.04,3760.02,3763.01,3765.99,3768.97,3771.95,3774.93,3777.9,3780.88,3783.85,3786.83
810,3786.83,3789.8,3792.77,3795.74,3798.71,3801.67,3804.64,3807.61,3810.57,3813.53,3816.5
820,3816.5,3819.46,3822.42,3825.37,3828.33,3831.29,3834.24,3837.2,3840.15,3843.1,3846.05
830,3846.05,3849,3851.95,3854.89,3857.84,3860.78,3863.73,3866.67,3869.61,3872.55,3875.49
840,3875.49,3878.43,3881.36,3884.3,3887.23,3890.16,3893.1,3896.03,3898.96,3901.88,3904.81
850,3904.81,3907.74,3910.66,3913.59,3916.51,3919.43,3922.35,3925.27,3928.19,3931.1,3934.02
